step    loss    train_time(s)
24      0.4123133123    2917.4577
48      0.2212787271    21.0740
72      0.006764644291  21.0025
96      0.05520142987   21.2453
120     0.0631878078    20.9337
144     0.004138816614  21.0200
168     0.5570958853    20.9258
192     0.02109038085   21.0193
216     0.03506595641   20.9406
240     0.1345956028    21.4126
264     0.2780615985    20.9389
288     0.025270449     20.9773
312     0.01123720687   20.9968
336     0.02263041958   20.9339
360     0.1035233214    21.0056
384     0.2195821404    20.8985
408     0.1368428618    20.9419
432     0.4546758831    21.0138
456     0.0571965985    20.9161
480     0.03540728241   20.9387
504     0.02694074251   21.0106
528     0.1031389534    20.9110
552     0.03238395974   20.9742
576     0.09108645469   20.9760
600     0.3215497732    20.9445
624     0.01810752414   21.0163
648     0.1990323067    20.9224
672     0.195587039     20.9641
696     0.02456812188   20.9709
720     0.1665406674    20.9383
744     0.3697327375    21.0085
768     0.007155228872  20.9364
792     0.02378532477   20.9139
816     0.1187308058    21.0036
840     0.01398276724   20.9123
864     0.01479949057   20.9707
888     0.09423093498   20.9555
912     0.005708082113  20.9170
936     0.0944499746    20.9823
960     0.08297923207   20.9183
984     0.004939953797  20.9412
1008    0.01164499763   21.0123
1032    0.009764971212  20.9270
1056    0.01891082712   20.9217
1080    0.01767273247   20.9915
1104    0.04397975653   20.9063
1128    0.08705472201   20.9255
1152    0.00318173389   21.0020
1176    0.5537730455    20.9208
1200    0.1653799117    20.9230

1200    0.1653799117    20.9230
