step    loss    train_time(s)
24      0.3283238411    3125.1789
48      0.4350143373    17.2233
72      0.1458146423    17.1746
96      0.03054565191   17.1547
120     0.03313220292   17.1092
144     0.04894040525   17.2586
168     0.07922240347   17.1033
192     0.1906818151    17.1730
216     0.4162381291    17.1358
240     0.00404868694   17.0622
264     0.04621951282   17.1209
288     0.20128645      17.1317
312     0.1423427761    17.0589
336     0.03572025523   17.0799
360     0.007461719215  17.1147
384     0.1937878728    17.0587
408     0.003776977304  17.0659
432     0.004150838125  17.1309
456     0.5687746406    17.0613
480     0.005522309337  17.0671
504     0.06119981781   17.1321
528     0.02291039377   17.0615
552     0.01481298544   17.0668
576     0.2440909296    17.1322
600     0.7400732636    17.0589
624     0.005910113454  17.0695
648     0.002721593482  17.1547
672     0.03622477874   17.0578
696     0.09398975223   17.0707
720     0.0259345416    17.1318
744     0.6909996867    17.0611
768     0.6652340889    17.0710
792     0.003975730855  17.1274
816     0.0130961705    17.0590
840     0.0237315651    17.0656
864     0.007377016358  17.1317
888     0.008194911294  17.0598
912     0.0943165943    17.0668
936     0.2760293484    17.1326
960     0.04047659039   17.0743
984     0.003055847948  17.0669
1008    0.03942579776   17.1339
1032    0.02536952309   17.0658
1056    0.06956323981   17.0678
1080    0.002472122898  17.1322
1104    0.05367623642   17.0595
1128    0.1313946247    17.0676
1152    0.2910288572    17.1337
1176    0.08008490503   17.0830
1200    0.1001581252    17.1057
